epoch,loss,lr,val_loss
0,0.0010753890965133905,0.001,0.001326856785453856
1,0.0010339259169995785,0.001,0.0025273000355809927
2,0.0017469731392338872,0.001,0.0012215279275551438
3,0.0011396693298593163,0.001,0.0013676428934559226
4,0.001172965974546969,0.00090483745,0.0013655569637194276
0,0.7061470150947571,0.001,0.04730355367064476
1,0.031758036464452744,0.001,0.004205123987048864
2,0.002663683844730258,0.001,0.0021048770286142826
3,0.002097645541653037,0.001,0.002125726081430912
4,0.0020939207170158625,0.00090483745,0.002100760582834482
5,0.002099703997373581,0.0008187308,0.0021185989025980234
6,0.0020845814142376184,0.0007408183,0.0020848624408245087
7,0.002063018037006259,0.0006703201,0.0021826899610459805
